conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username;label
1917717601666621522;Wed Apr 30 23:59:51 +0000 2025;0;@BosPurwa @prabowo Amit amit... Kejadian kayak begini bikin dia besar kepala memalukan https://t.co/U7co7mDUDr;1917730649655632285;https://pbs.twimg.com/media/Gpbyi5VbEAI_u4g.jpg;BosPurwa;in;;1;1;1;https://x.com/edi_muchlis/status/1917730649655632285;267240989;edi_muchlis;negative
1917730609520407002;Wed Apr 30 23:59:41 +0000 2025;2;Presiden Prabowo Bakal Pidato Poltik di May Day Monas Naik Maung dari Istana | #Prabowo #HariBuruh #Mayday https://t.co/QCQmfxFRpF;1917730609520407002;;;in;;0;2;0;https://x.com/kompascom/status/1917730609520407002;23343960;kompascom;neutral
1917384942914527346;Wed Apr 30 23:59:40 +0000 2025;2;@ututututmkkk @AnKiiim_ @jokowi @prabowo Lepaskan hidup dari dendam;1917730602545209555;;ututututmkkk;in;;0;0;0;https://x.com/ginanjarnur_p/status/1917730602545209555;3007773943;ginanjarnur_p;negative
1917714747690213459;Wed Apr 30 23:59:28 +0000 2025;0;@KamandanunGaPak Sayang nya pak presiden @prabowo subianto tidak merasa terhina ketika preman menghina purnawirawan bau tanah sekelas pak sutyoso pendidikan militer dan pencapaian nya luar biasa seenak nya di hina oleh preman di biarkan oleh Presiden seakan situasi ini sengaja diciptakan ?;1917730552284918244;;KamandanunGaPak;in;;0;0;0;https://x.com/routers40525/status/1917730552284918244;1675011538460229633;routers40525;positive
1917529672885362830;Wed Apr 30 23:59:13 +0000 2025;0;@kompascom Heran..kok bisa balas dendam ya..pdhl dia udah pensiun berarti masih tetap pegang kendali pemerintahan yg .dipimin prabowo;1917730490083336199;;kompascom;in;;0;0;0;https://x.com/mmymurni/status/1917730490083336199;34194525;mmymurni;negative
1917538949314273546;Wed Apr 30 23:59:07 +0000 2025;20;@adarwis @jokoanwar Bubarin aja ini negara @prabowo gak usah nunggu 2030 klo pemerintahannya cemen. Gak berani menindak tegas koruptor dan preman. Gak berani ma mulyoni...cemen!;1917730464607133925;;adarwis;in;;0;1;0;https://x.com/B34Rf16ht3R/status/1917730464607133925;1513465446779211781;B34Rf16ht3R;negative
1917730436090060854;Wed Apr 30 23:59:00 +0000 2025;1;Ridwan Bae Apresiasi Komitmen Presiden Prabowo Subianto Pada Infrastruktur Nasional: Luar Biasa! #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia https://t.co/uOAazp3npH;1917730436090060854;;;in;;0;0;12;https://x.com/golkarpedia/status/1917730436090060854;721898354502930433;golkarpedia;neutral
1917433731356450900;Wed Apr 30 23:58:56 +0000 2025;0;@jader_studio @tempodotco Prabowo gak bego membiarkan cebong tolol jadi presiden di 2029 https://t.co/u6cZ08Rqy6;1917730419581108335;https://pbs.twimg.com/media/Gp0lp1QaYAIfqpV.jpg;jader_studio;in;;0;0;0;https://x.com/RamaAdamfaathir/status/1917730419581108335;1794155659078041600;RamaAdamfaathir;neutral
1917581831421190477;Wed Apr 30 23:58:49 +0000 2025;0;@H4T14K4LN4L42 @prabowo @Gerindra @DPR_RI oowh pantas.. begini caramu mendoktrin diri sendiri dgn selalu mendengarkan berita2 negatif berulang ulang hingga mempertebal kebencianmu;1917730391651410091;;H4T14K4LN4L42;in;;0;0;0;https://x.com/TeknikAgun97364/status/1917730391651410091;1840724740555841536;TeknikAgun97364;positive
1917730376140874140;Wed Apr 30 23:58:46 +0000 2025;0;Dankorbrimob Polri Hadiri Pembukaan Rakernis Gabungan Divisi Polri Rabu (30/4/2025). Kepala Kepolisian Negara Republik Indonesia (Kapolri) Jenderal Polisi Listyo Sigit Prabowo Secara Resmi Membuka Rapat Kerja Teknis (Rakernis) Gabungan Divisi Polri T.A. 2025. https://t.co/xJoXsoFBGc;1917730376140874140;https://pbs.twimg.com/media/Gp0llFaaAAAOtYH.png;;in;;0;0;0;https://x.com/ppidbrimobsulut/status/1917730376140874140;1227034081407291392;ppidbrimobsulut;neutral
1917692203566260477;Wed Apr 30 23:58:34 +0000 2025;1;@STresnowati1 @SBYudhoyono @prabowo @aniesbaswedan @mohmahfudmd @DokterTifa Sudah ke pengadilan tunggu saja prosesnya nggak usah koar koar merasa terzolimi memfitnah orang juga kalo nggak terbukti juga mendzolimi jangan nanti kalah di pengadilan bikin opini lagi merasa terzolimi perkuat saja buki buktinya di pengadilan itu nanti adu bukti dan fakta.;1917730326086050234;;STresnowati1;in;;0;0;0;https://x.com/sobirinks/status/1917730326086050234;1822019107677736960;sobirinks;negative
1917575098586005618;Wed Apr 30 23:58:26 +0000 2025;10;@AngelWi59406981 Met pagi sis tetep semangad jaga pak @jokowi pak @prabowo dan mas @gibran_tweet dr serangan hoax gerombolan kalah pilpres;1917730292988805606;;AngelWi59406981;in;;0;0;0;https://x.com/xquitavee/status/1917730292988805606;1604408934525464576;xquitavee;neutral
1917717601666621522;Wed Apr 30 23:58:21 +0000 2025;6;@BosPurwa @naveedgilang @prabowo Buat gaduh dan membuat rakyat takut pak @prabowo . Masa seperti ngancam mau kerahkan ratusan ribu ke jabar? Ormas kok rasa preman? Bubarkan saja pak gk penting ormas yg rasa preman.;1917730272969384172;;BosPurwa;in;;0;1;0;https://x.com/amelcewaw/status/1917730272969384172;1661041817138368512;amelcewaw;negative
1917530430217281961;Wed Apr 30 23:58:09 +0000 2025;0;@Anak__Ogi @prabowo Mutasi di TNI itu hal yg wajar;1917730224479129841;;Anak__Ogi;in;;0;0;0;https://x.com/yunantyo_yas/status/1917730224479129841;1157528354;yunantyo_yas;neutral
1917526683487461745;Wed Apr 30 23:57:31 +0000 2025;1;@faesalmuhammad @Muh_N_UD @geloraco Siapa bilang @prabowo tidak kenal dengan si preman her culas https://t.co/YLKjq78oB6;1917730063115772077;https://pbs.twimg.com/ext_tw_video_thumb/1917730013102891009/pu/img/CUfPCytu0HwjNX5o.jpg;faesalmuhammad;in;;1;1;0;https://x.com/pondokG65657380/status/1917730063115772077;1569878294509789184;pondokG65657380;negative
1917730051308806232;Wed Apr 30 23:57:28 +0000 2025;3;#TPPBersamaMenteriDesa Musdesus pembentukan koperasi merah putih #TPPBersamaMenteriDesa @prabowo @YandriSusanto27 @ArizaPatria @taufikmadjid71 @kemendespdt @bpsdmkemendesa https://t.co/HGhOmiU0hX;1917730051308806232;https://pbs.twimg.com/media/Gp0lUGzaYAEw9EM.jpg;;in;;0;0;0;https://x.com/81_riz/status/1917730051308806232;2828049163;81_riz;neutral
1917433418612367758;Wed Apr 30 23:57:23 +0000 2025;1;@BANGSAygSUJUD @prabowo @tham878 @romoatheist @mimih6mei @kiwalipitu @Kimberley_PS08 @hasanudinsajid @gtobing2903 @FDonghun @EdySularno96489 @awikuchuz Coba dibuka berapa komposisi hutang dan non-hutang di cadangan devisa. Walau jamak dalam praktik hutang dianggap sbg cadangan devisa tapi itu bukan prestasi.;1917730031016763630;;BANGSAygSUJUD;in;;0;0;0;https://x.com/Erry767170/status/1917730031016763630;1749411945940389888;Erry767170;negative
1917692203566260477;Wed Apr 30 23:57:12 +0000 2025;1;@STresnowati1 @SBYudhoyono @prabowo @aniesbaswedan @mohmahfudmd @DokterTifa dulu jika ada cendikiawan muslim berhasil menemukan bukti ilmiah maka mereka menguji dan mendiskusikannya klo sekarang para cendekiawan muslim di Indonesia ya kek pecundang duduk manis menonton sambil menunggu waktunya mereka bisa memanfaatkan situasi yang menguntungkan.. ;1917729984682287162;;STresnowati1;in;;0;0;1;https://x.com/mentri_kucing/status/1917729984682287162;1875364271397466114;mentri_kucing;positive
1917574086349455483;Wed Apr 30 23:56:50 +0000 2025;0;@Ndons_Back @prabowo @are_inismyname @florieliciouss @BANGSAygSUJUD @99propaganda @Kimberley_PS08 @IrawanRommi @DarekaRendy @coldbrew165 @jatmiko99604253 Kalo pro buruh tentu gak sebanyak ini pengangguran https://t.co/fudFhCBnI1;1917729891958878649;;Ndons_Back;in;;0;0;0;https://x.com/PerryGerr/status/1917729891958878649;72331131;PerryGerr;neutral
1917485457958658121;Wed Apr 30 23:54:25 +0000 2025;0;@TeddGus @jokowi @prabowo @gibran_tweet Jokowi difitnah adalah fitnah sampai terbukti. Pernyataan anda sangat tendensius dan provokatif. Tak sesuai desain awal anda yg inginkan perdamaian.;1917729282182316323;;TeddGus;in;;0;0;0;https://x.com/Erry767170/status/1917729282182316323;1749411945940389888;Erry767170;negative
1917577396146037062;Wed Apr 30 23:54:20 +0000 2025;8;@msaid_didu Gak punya Marwah itu pak @prabowo .Keputusannya di KANGKANGI genk Jokowi. OMON GEUDE nyali NOL .Awas pak @prabowo aku gak percy dg ramalan tp si gumay bilang anda cuma 17 bulan sisa 12 bln lg loh.;1917729262737711218;;msaid_didu;in;;0;1;0;https://x.com/lopefutin/status/1917729262737711218;1603746480707104768;lopefutin;negative
1917728970172477561;Wed Apr 30 23:53:10 +0000 2025;0;OK gas ...Indonesia Emas nih pak @prabowo @gibran_tweet l berkas kerja keras kalian kita memimpin klasemen pengangguran ke 1 di Asean. Kinerja kalian sangat memuaskan mayoritas para pengangguran. Siapa yang yg hendak kalian utus untuk menerima penghargaan ini ?;1917728970172477561;;;in;;0;0;0;https://x.com/donecorner/status/1917728970172477561;1838798964340199424;donecorner;positive
1917617956047184182;Wed Apr 30 23:52:54 +0000 2025;16;@Hidejaya @NenkMonica @prabowo @DivHumas_Polri FPI dulu dan sekarang gak pernah nongol minta minta ke perusahaan sih tapi nongol ya di lokasi bencana !;1917728900802838712;;Hidejaya;in;;0;0;0;https://x.com/ay_prakasa2225/status/1917728900802838712;1710210523709784064;ay_prakasa2225;negative
1917728883119644711;Wed Apr 30 23:52:50 +0000 2025;0;Pak @prabowo ingat sumpah anda di atas Qur'an bahwa anda akan menegakkan undang-undang... jangan malah menegakkan premanisme;1917728883119644711;;;in;;0;0;0;https://x.com/Majinterra2008/status/1917728883119644711;1785162578370695168;Majinterra2008;negative
